type_of_accommodation,number_of_rooms,floor,floors,type_of_house,repair,combined_bathroom,shared_bathroom,passenger_elevator,cargo_elevator,loggia,parking,balcony,price,total_area,living_area,kitchen_area,year_of_construction,full_adress,district,distnce_metro
Вторичка,4,54,75,Монолитный,Нет,0,0,1,1,0,0,0,158873415,202.0,113.0,21.0,2013,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15", ЦАО,0.16484023989877042
Вторичка,5,7,53,Монолитно-кирпичный,Дизайнерский,3,0,1,1,0,0,0,174449240,233.0,119.0,25.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Новостройка,1,25,25,Панельный,Нет,1,0,1,1,1,1,0,3962150,38.0,14.9,11.2,2019,"Москва, НАО (Новомосковский), Московский, Первый Московский микрорайон, к30", НАО (Новомосковский),10.638735916830155
Вторичка,5,43,53,Монолитно-кирпичный,Нет,3,0,1,1,0,0,0,116295339,255.7,130.0,25.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,3,21,53,Монолитно-кирпичный,Дизайнерский,2,0,1,1,0,0,0,137067260,148.9,110.0,21.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,3,41,53,Монолитно-кирпичный,Дизайнерский,3,0,1,1,0,0,0,155758250,167.0,105.0,18.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,4,8,12,Монолитный,Нет,2,0,0,0,1,0,0,129715470,138.8,91.0,16.0,2013,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12", ЦАО,0.528172477585726
Вторичка,5,35,53,Монолитно-кирпичный,Нет,3,0,1,1,0,0,0,112145940,240.0,122.0,25.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,5,8,12,Монолитный,Нет,4,0,0,0,1,0,0,217563123,232.8,114.0,25.0,2013,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12", ЦАО,0.528172477585726
Вторичка,5,11,12,Монолитный,Нет,0,0,0,0,0,0,0,218061550,272.6,139.0,25.0,2014,"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10с1к4/1", ЦАО,0.5713244435366369
Вторичка,2,3,16,Монолитный,Нет,1,0,1,1,0,0,1,7600000,68.0,36.0,15.0,2016,"Москва, НАО (Новомосковский), Коммунарка поселок, ул. Липовый Парк, 2", НАО (Новомосковский),4.216243046713263
Вторичка,2,6,12,Монолитный,Нет,0,2,1,1,1,0,0,21300000,83.0,39.0,15.0,2017,"Москва, САО, р-н Тимирязевский, Дмитровское ш., 13", САО,0.277437342043645
Вторичка,1,16,28,Монолитный,Нет,1,0,1,1,1,0,0,14900000,52.4,22.4,13.0,2017,"Москва, САО, р-н Тимирязевский, Дмитровское ш., 13", САО,0.277437342043645
Вторичка,2,4,28,Монолитный,Нет,0,2,1,1,1,0,0,19700000,93.0,41.0,16.0,2017,"Москва, САО, р-н Тимирязевский, Дмитровское ш., 13", САО,0.277437342043645
Новостройка,2,2,16,Монолитный,Нет,0,1,1,1,1,1,0,12714500,59.0,34.8,9.0,2018,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Демьяна Бедного, 15К1", СЗАО,1.850163855013936
Вторичка,3,44,75,Монолитный,Дизайнерский,2,1,1,1,0,1,0,101554379,163.0,98.0,20.0,2013,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15", ЦАО,0.16484023989877042
Вторичка,1,13,19,Монолитный,Нет,1,0,0,0,1,0,0,9800000,46.0,22.0,14.0,2013,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к6", ЮВАО,0.7938937256066709
